type,weight,dataset,source,target,key
ownership,0.90013963,MC1,Spanish Shrimp  Carriers,12744,0
partnership,0.8458973,MC1,Spanish Shrimp  Carriers,21323516,0
partnership,0.9648761,MC1,Spanish Shrimp  Carriers,290834957,0
ownership,0.9642126,MC1,Spanish Shrimp  Carriers,3506021,0
family_relationship,0.82348585,MC1,Spanish Shrimp  Carriers,Conventionâ,0
family_relationship,0.8931523,MC1,Spanish Shrimp  Carriers,2262,0
family_relationship,0.8393061,MC1,Spanish Shrimp  Carriers,Ashley Davis,0
family_relationship,0.88508075,MC1,Spanish Shrimp  Carriers,924,0
family_relationship,0.8865156,MC1,Spanish Shrimp  Carriers,95,0
membership,0.8986875,MC1,Spanish Shrimp  Carriers,Ancla Azul Company Solutions,0
partnership,0.87834406,MC1,Spanish Shrimp  Carriers,185106,0
family_relationship,0.9664978,MC1,Spanish Shrimp  Carriers,Stephanie Garner,0
membership,0.95491886,MC1,Spanish Shrimp  Carriers,âpair,0
ownership,0.906598,MC1,Spanish Shrimp  Carriers,Guessl,0
ownership,0.85037404,MC1,Spanish Shrimp  Carriers,Federated,0
family_relationship,0.8211689,MC1,Spanish Shrimp  Carriers,94760735,0
membership,0.84271693,MC1,Spanish Shrimp  Carriers,Act,0
family_relationship,0.91274184,MC1,Spanish Shrimp  Carriers,83,0
ownership,0.8865423,MC1,Spanish Shrimp  Carriers,imo,0
partnership,0.92457855,MC1,Spanish Shrimp  Carriers,Torremolinos,0
ownership,0.91700685,MC1,Spanish Shrimp  Carriers,International-Convention,0
membership,0.8683886,MC1,Spanish Shrimp  Carriers,logo,0
membership,0.85606986,MC1,Spanish Shrimp  Carriers,551,0
membership,0.92410904,MC1,Spanish Shrimp  Carriers,Dana Goodwin,0
membership,0.8302771,MC1,Spanish Shrimp  Carriers,Misty Thomas,0
membership,0.8621031,MC1,Spanish Shrimp  Carriers,Turkish Sword Buoy Incorporated Forwading,0
partnership,0.8461635,MC1,Spanish Shrimp  Carriers,314,0
partnership,0.8549085,MC1,Spanish Shrimp  Carriers,56,0
membership,0.86141807,MC1,Spanish Shrimp  Carriers,2983,0
family_relationship,0.8872652,MC1,Spanish Shrimp  Carriers,FinestSea Ltd. Corporation Enterprises,0
membership,0.89786583,MC1,Spanish Shrimp  Carriers,653,0
membership,0.8220973,MC1,Spanish Shrimp  Carriers,Icelandic Shrimp Corporation Transport,0
membership,0.8432206,MC1,Spanish Shrimp  Carriers,1094345,0
membership,0.8699905,MC1,Spanish Shrimp  Carriers,7691,0
membership,0.86455804,MC1,Spanish Shrimp  Carriers,341,0
membership,0.80229217,MC1,Spanish Shrimp  Carriers,Lake Mweru A/S Carriers,0
partnership,0.8711762,MC1,Spanish Shrimp  Carriers,Playa de la Felicidad Oyj Cargo,0
membership,0.88794583,MC1,Spanish Shrimp  Carriers,77b46bc7-7e31-41a0-973c-e633011d21b0,0
membership,0.89960074,MC1,Spanish Shrimp  Carriers,âencounteredâ,0
family_relationship,0.89385,MC1,Spanish Shrimp  Carriers,f7a4114d-d1ca-44df-a7e0-c72e440671ba,0
membership,0.8977303,MC1,Spanish Shrimp  Carriers,39,0
partnership,0.85345495,MC1,Spanish Shrimp  Carriers,3433,0
family_relationship,0.954674,MC1,Spanish Shrimp  Carriers,Kara Sullivan,0
partnership,0.9264291,MC1,Spanish Shrimp  Carriers,52093e45-b873-4300-9612-8dfc291b1339,0
partnership,0.9294543,MC1,Spanish Shrimp  Carriers,200640636,0
partnership,0.90164447,MC1,Spanish Shrimp  Carriers,300668979,0
partnership,0.9337086,MC1,Spanish Shrimp  Carriers,Stacey Ortega,0
family_relationship,0.93725806,MC1,Spanish Shrimp  Carriers,285351,0
membership,0.85655963,MC1,Spanish Shrimp  Carriers,allAfrica,0
membership,0.9649751,MC1,Spanish Shrimp  Carriers,l y S.A. de C.V. International,0
membership,0.9384681,MC1,Spanish Shrimp  Carriers,b28d568f-09b4-41bd-b04d-4cf255f1adc6,0
ownership,0.8305824,MC1,Spanish Shrimp  Carriers,122245,0
family_relationship,0.8497422,MC1,Spanish Shrimp  Carriers,341411,0
membership,0.8640143,MC1,Spanish Shrimp  Carriers,Playa del Cielo Kga,0
ownership,0.8408453,MC1,Spanish Shrimp  Carriers,160,0
ownership,0.80696726,MC1,Spanish Shrimp  Carriers,903311212,0
