type,weight,source,target
ownership,0.90013963,Spanish Shrimp  Carriers,12744
partnership,0.8458973,Spanish Shrimp  Carriers,21323516
partnership,0.9648761,Spanish Shrimp  Carriers,290834957
ownership,0.9642126,Spanish Shrimp  Carriers,3506021
family_relationship,0.82348585,Spanish Shrimp  Carriers,Conventionâ
family_relationship,0.8931523,Spanish Shrimp  Carriers,2262
family_relationship,0.8393061,Spanish Shrimp  Carriers,Ashley Davis
family_relationship,0.88508075,Spanish Shrimp  Carriers,924
family_relationship,0.8865156,Spanish Shrimp  Carriers,95
membership,0.8986875,Spanish Shrimp  Carriers,Ancla Azul Company Solutions
partnership,0.87834406,Spanish Shrimp  Carriers,185106
family_relationship,0.9664978,Spanish Shrimp  Carriers,Stephanie Garner
membership,0.95491886,Spanish Shrimp  Carriers,âpair
ownership,0.906598,Spanish Shrimp  Carriers,Guessl
ownership,0.85037404,Spanish Shrimp  Carriers,Federated
family_relationship,0.8211689,Spanish Shrimp  Carriers,94760735
membership,0.84271693,Spanish Shrimp  Carriers,Act
family_relationship,0.91274184,Spanish Shrimp  Carriers,83
ownership,0.8865423,Spanish Shrimp  Carriers,imo
partnership,0.92457855,Spanish Shrimp  Carriers,Torremolinos
ownership,0.91700685,Spanish Shrimp  Carriers,International-Convention
membership,0.8683886,Spanish Shrimp  Carriers,logo
membership,0.85606986,Spanish Shrimp  Carriers,551
membership,0.92410904,Spanish Shrimp  Carriers,Dana Goodwin
membership,0.8302771,Spanish Shrimp  Carriers,Misty Thomas
membership,0.8621031,Spanish Shrimp  Carriers,Turkish Sword Buoy Incorporated Forwading
partnership,0.8461635,Spanish Shrimp  Carriers,314
partnership,0.8549085,Spanish Shrimp  Carriers,56
membership,0.86141807,Spanish Shrimp  Carriers,2983
family_relationship,0.8872652,Spanish Shrimp  Carriers,FinestSea Ltd. Corporation Enterprises
membership,0.89786583,Spanish Shrimp  Carriers,653
membership,0.8220973,Spanish Shrimp  Carriers,Icelandic Shrimp Corporation Transport
membership,0.8432206,Spanish Shrimp  Carriers,1094345
membership,0.8699905,Spanish Shrimp  Carriers,7691
membership,0.86455804,Spanish Shrimp  Carriers,341
membership,0.80229217,Spanish Shrimp  Carriers,Lake Mweru A/S Carriers
partnership,0.8711762,Spanish Shrimp  Carriers,Playa de la Felicidad Oyj Cargo
membership,0.88794583,Spanish Shrimp  Carriers,77b46bc7-7e31-41a0-973c-e633011d21b0
membership,0.89960074,Spanish Shrimp  Carriers,âencounteredâ
family_relationship,0.89385,Spanish Shrimp  Carriers,f7a4114d-d1ca-44df-a7e0-c72e440671ba
membership,0.8977303,Spanish Shrimp  Carriers,39
partnership,0.85345495,Spanish Shrimp  Carriers,3433
family_relationship,0.954674,Spanish Shrimp  Carriers,Kara Sullivan
partnership,0.9264291,Spanish Shrimp  Carriers,52093e45-b873-4300-9612-8dfc291b1339
partnership,0.9294543,Spanish Shrimp  Carriers,200640636
partnership,0.90164447,Spanish Shrimp  Carriers,300668979
partnership,0.9337086,Spanish Shrimp  Carriers,Stacey Ortega
family_relationship,0.93725806,Spanish Shrimp  Carriers,285351
membership,0.85655963,Spanish Shrimp  Carriers,allAfrica
membership,0.9649751,Spanish Shrimp  Carriers,l y S.A. de C.V. International
membership,0.9384681,Spanish Shrimp  Carriers,b28d568f-09b4-41bd-b04d-4cf255f1adc6
ownership,0.8305824,Spanish Shrimp  Carriers,122245
family_relationship,0.8497422,Spanish Shrimp  Carriers,341411
membership,0.8640143,Spanish Shrimp  Carriers,Playa del Cielo Kga
ownership,0.8408453,Spanish Shrimp  Carriers,160
ownership,0.80696726,Spanish Shrimp  Carriers,903311212
membership,0.88245773,Spanish Shrimp  Carriers,SeaSpray Wave SRL Solutions
membership,0.8822255,Spanish Shrimp  Carriers,png xi  Line
membership,0.91648334,Spanish Shrimp  Carriers,Mar del Oeste Pic
ownership,0.8070168,Spanish Shrimp  Carriers,Ocean Fisheries Llc
family_relationship,0.80074245,Spanish Shrimp  Carriers,Ocean Fisheries Llc
ownership,0.91701066,12744,Spanish Shrimp  Carriers
partnership,0.9258137,12744,255â273
membership,0.90370446,12744,858
ownership,0.92168045,143129355,Spanish Shrimp  Carriers
membership,0.811439,143129355,pilot
membership,0.85087025,143129355,9699687
membership,0.89279175,143129355,Melinda Bentley
family_relationship,0.9460538,7775,Sean Vasquez
family_relationship,0.85230386,7775,196159
family_relationship,0.95881826,7775,755
family_relationship,0.8827995,7775,Ancla del Mar Ltd. Corporation
family_relationship,0.91212845,7775,95
family_relationship,0.937907,7775,185040354
membership,0.8675355,1017141,2591586
membership,0.880043,1017141,185040354
partnership,0.90195256,1017141,0
family_relationship,0.89889705,2591586,185040354
partnership,0.9113865,2591586,0
ownership,0.8243702,2591586,49
family_relationship,0.88491124,2591586,71352
ownership,0.8380731,2591586,60806
membership,0.8130386,2591586,SeaSpray Wave SRL Solutions
partnership,0.8093446,2591586,png xi  Line
partnership,0.8574063,185040354,4
partnership,0.9082395,185040354,77b46bc7-7e31-41a0-973c-e633011d21b0
partnership,0.9027907,185040354,7
ownership,0.90231067,185040354,35
partnership,0.9120527,185040354,Faroe Islands Shrimp Shark
partnership,0.9322683,185040354,6406040
family_relationship,0.9499722,185040354,290834957
partnership,0.8384497,185040354,Jamie Knox
partnership,0.8960208,185040354,0
ownership,0.84134257,185040354,3506021
ownership,0.80856466,185040354,664738735
ownership,0.9200609,185040354,2262
ownership,0.896637,185040354,5848
ownership,0.82721174,185040354,505943
partnership,0.8559051,185040354,Jerry Welch
partnership,0.85033315,185040354,23774
partnership,0.81937426,185040354,854
membership,0.9579221,185040354,903311212
membership,0.9049128,185040354,Mar del Oeste Pic
partnership,0.88091284,Faroe Islands Shrimp Shark,2591586
membership,0.89682174,Faroe Islands Shrimp Shark,185040354
family_relationship,0.8004607,Faroe Islands Shrimp Shark,185040354
membership,0.9179369,Faroe Islands Shrimp Shark,650512
partnership,0.915767,Faroe Islands Shrimp Shark,6406040
membership,0.9320071,Faroe Islands Shrimp Shark,290834957
family_relationship,0.80087644,Faroe Islands Shrimp Shark,Ancla Azul Company Solutions
family_relationship,0.80773896,Faroe Islands Shrimp Shark,245
family_relationship,0.9212231,Faroe Islands Shrimp Shark,551
family_relationship,0.8270625,Faroe Islands Shrimp Shark,5372
family_relationship,0.82179725,Faroe Islands Shrimp Shark,951093
family_relationship,0.84672105,Faroe Islands Shrimp Shark,Tamil Nadu S.p.A.
family_relationship,0.88316095,Faroe Islands Shrimp Shark,02cd44a1-7945-40d9-b38f-56f70976582c
family_relationship,0.8576304,Faroe Islands Shrimp Shark,7950
membership,0.847137,Faroe Islands Shrimp Shark,44
membership,0.82616806,Faroe Islands Shrimp Shark,41
membership,0.83704895,Faroe Islands Shrimp Shark,c1aeee2d-0030-4d85-b45c-ac3fd9887b98
partnership,0.90117604,Faroe Islands Shrimp Shark,98703
partnership,0.93715215,Faroe Islands Shrimp Shark,34
partnership,0.81411695,Faroe Islands Shrimp Shark,Spanish Shrimp  Carriers
partnership,0.89687985,Faroe Islands Shrimp Shark,Dana Goodwin
partnership,0.8262601,Faroe Islands Shrimp Shark,7691
partnership,0.81719506,Faroe Islands Shrimp Shark,380
ownership,0.86927295,Faroe Islands Shrimp Shark,OceanicOrigin Foods Co and Son's
ownership,0.83493114,Faroe Islands Shrimp Shark,852015
ownership,0.86684185,Faroe Islands Shrimp Shark,71317
membership,0.9012811,Faroe Islands Shrimp Shark,Act
membership,0.94861764,Faroe Islands Shrimp Shark,l y S.A. de C.V. International
partnership,0.81251955,Faroe Islands Shrimp Shark,16
partnership,0.88998085,Faroe Islands Shrimp Shark,âThese
partnership,0.821271,Faroe Islands Shrimp Shark,31
partnership,0.83774954,Faroe Islands Shrimp Shark,3506021
membership,0.92099714,Faroe Islands Shrimp Shark,Fisherman'sFriend Charter Boat S.A. de C.V. Freight 
partnership,0.8437206,Faroe Islands Shrimp Shark,PC
partnership,0.84527004,Faroe Islands Shrimp Shark,39
partnership,0.80260277,Faroe Islands Shrimp Shark,7298083
family_relationship,0.80869645,Faroe Islands Shrimp Shark,FiTI
ownership,0.91337633,Faroe Islands Shrimp Shark,48
membership,0.82293105,Faroe Islands Shrimp Shark,43685541
partnership,0.94451296,Faroe Islands Shrimp Shark,Marie Lee
family_relationship,0.84685665,Faroe Islands Shrimp Shark,49
membership,0.8082731,Faroe Islands Shrimp Shark,449820
family_relationship,0.8115202,Faroe Islands Shrimp Shark,Victoria
family_relationship,0.854292,Faroe Islands Shrimp Shark,73166320
partnership,0.83002937,Faroe Islands Shrimp Shark,262157542
partnership,0.9467771,Faroe Islands Shrimp Shark,faf.20363
family_relationship,0.80275244,Faroe Islands Shrimp Shark,Christopher Cunningham
family_relationship,0.80719465,Faroe Islands Shrimp Shark,Christopher Cunningham
family_relationship,0.90827155,Faroe Islands Shrimp Shark,589
family_relationship,0.8224123,Faroe Islands Shrimp Shark,94
ownership,0.92168885,Faroe Islands Shrimp Shark,Mr. Joseph Johnson
partnership,0.83362126,Faroe Islands Shrimp Shark,720
membership,0.91618645,Faroe Islands Shrimp Shark,fdcbe098-dbe6-4e52-8bd7-96cf3ae30101
partnership,0.88314736,Faroe Islands Shrimp Shark,767
family_relationship,0.8398377,Faroe Islands Shrimp Shark,Master
partnership,0.89321953,Faroe Islands Shrimp Shark,Michael Andrews
ownership,0.9304359,Faroe Islands Shrimp Shark,Sarah Garcia
ownership,0.9054944,Faroe Islands Shrimp Shark,Jessica James
ownership,0.9223005,Faroe Islands Shrimp Shark,26794528-86a5-4b5e-802f-50c3f226c66b
ownership,0.8002637,Faroe Islands Shrimp Shark,c01c6a10-60c9-4f11-9409-aa04c3963826
ownership,0.8422154,Faroe Islands Shrimp Shark,57
membership,0.8259138,Faroe Islands Shrimp Shark,9550
family_relationship,0.83669424,Faroe Islands Shrimp Shark,46901627
ownership,0.8761594,Faroe Islands Shrimp Shark,Faurtil FÃ¡brica Urnas TietÃª
ownership,0.8191037,Faroe Islands Shrimp Shark,Turkish Mussels Ltd. Liability Co Marine biology
ownership,0.8986532,Faroe Islands Shrimp Shark,Leslie Williams
partnership,0.8249205,Faroe Islands Shrimp Shark,83951569
membership,0.80356675,Faroe Islands Shrimp Shark,577a9358-a718-4d90-a90e-88f88c58160d
family_relationship,0.82205546,Faroe Islands Shrimp Shark,b120bc86-764c-4e2b-9f36-1587f91a20e3
family_relationship,0.8200454,Faroe Islands Shrimp Shark,6c7a8222-efc7-41a6-809a-043b091ae04a
ownership,0.8693283,Faroe Islands Shrimp Shark,Sarah Hays
ownership,0.87307334,Faroe Islands Shrimp Shark,8541598
membership,0.8320456,Faroe Islands Shrimp Shark,6731
partnership,0.9050164,Faroe Islands Shrimp Shark,b8567859-bf54-49fd-8332-5775e19c65af
partnership,0.8558467,Faroe Islands Shrimp Shark,979893388
family_relationship,0.8614878,Faroe Islands Shrimp Shark,341411
partnership,0.8672443,Faroe Islands Shrimp Shark,341411
family_relationship,0.88049114,Faroe Islands Shrimp Shark,Playa del Cielo Kga
family_relationship,0.8554233,Faroe Islands Shrimp Shark,Playa del Cielo Kga
family_relationship,0.83714163,Faroe Islands Shrimp Shark,png xi  Line
family_relationship,0.89177126,Faroe Islands Shrimp Shark,png xi  Line
membership,0.8417909,Faroe Islands Shrimp Shark,png xi  Line
ownership,0.86580426,Faroe Islands Shrimp Shark,png xi  Line
ownership,0.8793665,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions
ownership,0.88534224,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions
family_relationship,0.8202867,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions
membership,0.82755584,Faroe Islands Shrimp Shark,903311212
partnership,0.8062242,341411,21323516
membership,0.8733182,341411,Lisa Jimenez
membership,0.9089618,341411,526269
partnership,0.95340335,341411,99575926
family_relationship,0.9426687,341411,290834957
membership,0.9565551,341411,72371354
ownership,0.8608428,341411,55
ownership,0.82686514,341411,766649
membership,0.8264447,341411,Brian Nelson
partnership,0.9071883,341411,664738735
ownership,0.9090691,341411,âdevil vesselsâ
ownership,0.88596994,341411,1
partnership,0.81400937,341411,1
membership,0.8828208,341411,8c53a730-3aa1-463f-aef6-999a3cfbfb70
membership,0.8868463,341411,19
membership,0.8219815,341411,47679
membership,0.92915547,341411,47679
membership,0.85579586,341411,Mar del Paraso SRL Shipping
partnership,0.8233436,341411,3506021
ownership,0.8065772,341411,683962
partnership,0.9103383,341411,Kathleen Gates
partnership,0.82448506,341411,82408558
partnership,0.8219258,341411,New Bedford Light
membership,0.8893693,341411,f94bcae5-b023-48f6-a0d5-ff2f01cc00ed
membership,0.90387654,341411,f6cca381-c55e-44cc-b685-6c4139459b96
family_relationship,0.9422639,341411,d0123474-8425-4ab0-90d5-175920158638
ownership,0.8707887,341411,933c4581-7ecc-4377-995c-7a200fee617b
membership,0.9078944,341411,Spanish Shrimp  Carriers
partnership,0.9073893,341411,James Berry
ownership,0.8066812,341411,Sonia Fisheries Pvt
ownership,0.9280179,341411,Pesquera
partnership,0.9262474,341411,838200939
partnership,0.83361137,341411,860600018
partnership,0.8820587,341411,83951569
membership,0.8444066,341411,yearbook2036
partnership,0.92390555,341411,79538
membership,0.8601562,341411,Kevin Norton
ownership,0.9336032,341411,Howard Pierce
membership,0.81375825,341411,Jessica Brown
membership,0.8221274,341411,70
family_relationship,0.84565026,341411,85117949
membership,0.88210094,341411,DOFâs
partnership,0.92742187,341411,DOFâs
membership,0.8772003,341411,Last
family_relationship,0.8767541,341411,Irish Sea Seaside GmbH & Co. KG Distribution
family_relationship,0.9013175,341411,Irish Sea Seaside GmbH & Co. KG Distribution
family_relationship,0.8545139,341411,Faroe Islands Shrimp Shark
family_relationship,0.91822976,341411,Faroe Islands Shrimp Shark
family_relationship,0.8366485,341411,Faroe Islands Shrimp Shark
membership,0.91906863,341411,Faroe Islands Shrimp Shark
family_relationship,0.8083655,341411,235866056
family_relationship,0.8277229,341411,235866056
ownership,0.8248288,341411,28379
partnership,0.9121435,341411,Jason Neal
family_relationship,0.82984716,341411,b8f8208c-0388-484e-a700-b4c265170827
family_relationship,0.8854589,341411,1aa47ffc-05a8-4edd-a8e0-94c10b650bd8
family_relationship,0.8394572,341411,Wendy Duarte
membership,0.87030923,341411,weeks
membership,0.80907315,341411,40213337
ownership,0.8905956,341411,cutters
family_relationship,0.92843395,341411,Timothy Cuevas
family_relationship,0.9182399,341411,Joshua Glover
family_relationship,0.93056244,341411,Tara Villegas
family_relationship,0.8811106,341411,75399
family_relationship,0.92926365,341411,75399
partnership,0.9224263,341411,28
family_relationship,0.85933393,341411,Christopher Cunningham
family_relationship,0.8710709,341411,Christopher Cunningham
membership,0.8699977,341411,Christopher Cunningham
family_relationship,0.8185814,341411,b8567859-bf54-49fd-8332-5775e19c65af
membership,0.95098346,341411,b8567859-bf54-49fd-8332-5775e19c65af
membership,0.88443977,341411,967900443
family_relationship,0.8054692,341411,967900443
membership,0.84088117,341411,months
membership,0.88695025,341411,Janice Bell
membership,0.9484805,341411,George Morton
family_relationship,0.8229683,341411,98
family_relationship,0.82096106,341411,96
family_relationship,0.8558071,341411,93
family_relationship,0.8466374,341411,Olivia Bailey
family_relationship,0.8563299,341411,Uttar Pradesh Sp
partnership,0.88428277,341411,Debra Davis
partnership,0.89817876,341411,cefaf8b3-3aa2-4c59-b4aa-7974c8e1fe32
partnership,0.9114424,341411,Estrella de Coral Ltd. Corporation Logistics
partnership,0.8078936,341411,Laura Jimenez
family_relationship,0.82944757,341411,2028
membership,0.9409724,341411,f514483d-fb5f-4cb2-bb8d-b616b10336d8
ownership,0.91772944,341411,âVikingâ
ownership,0.80674386,341411,26676370
family_relationship,0.9010364,341411,Saltwater Solitude GmbH & Co. KG
ownership,0.8530793,341411,PRK
family_relationship,0.85398763,341411,Viento Azul Harbor LLC Investment
family_relationship,0.8874889,341411,Viking fishing
family_relationship,0.8081889,341411,175
family_relationship,0.836042,341411,95
family_relationship,0.8728973,341411,expect year
membership,0.88727766,341411,43685541
partnership,0.80781865,341411,Bryan Hill
partnership,0.87063706,341411,Michele Henry
membership,0.8304546,341411,58db776e-40f1-4e68-b13d-dcc42416ce58
membership,0.8565332,341411,73704
membership,0.92350876,341411,Amanda Mckenzie
membership,0.87692744,341411,Gulf of Guinea  Corporation
partnership,0.8918229,341411,Christopher Simon
partnership,0.89730024,341411,Robert Nguyen
partnership,0.9633033,341411,âfirst
partnership,0.97595835,341411,âinitiallyâ
ownership,0.8260966,341411,c01c6a10-60c9-4f11-9409-aa04c3963826
membership,0.9036867,341411,Ms. Stephanie Rivera DDS
partnership,0.8866799,341411,540613204
ownership,0.89258456,341411,46901627
family_relationship,0.8797047,341411,Seabreeze Foods Corporation Logistics
